NRO,DISTRITO,DENOMINACION,Tipo de Partido,A¤o de recononimiento,N§ de Afiliados,Carta Org nica.,,Senadores P,Diputados P.,Intendente,Concejales 
851,PUAN,AGRUPACION VECINAL DEL PARTIDO DE PUAN,Agrupaci¢n Municipal,13/02/2019,283,,,,,,
670,PUNTA INDIO,CORRIENTE DE UNIDAD SOCIAL Y POLITICA 6 DE DICIEMBRE,Agrupaci¢n Municipal,24/04/2009,250,,,,,,
838,RAMALLO,RAMALLO SOMOS TODOS,Agrupaci¢n Municipal,30/05/2017,292,,,,,,
721,RIVADAVIA,RIVADAVIA PRIMERO,Agrupaci¢n Municipal,05/06/2011,250,,,,,,
876,RIVADAVIA,SOMOS RIVADAVIA,Agrupaci¢n Municipal,17/05/2019,286,,,,,,
858,SAAVEDRA,TODOS POR SAAVEDRA,Agrupaci¢n Municipal,22/03/2019,270,,,,,,
792,SALLIQUELO,UNION VECINAL SALLIQUELO,Agrupaci¢n Municipal,18/05/2015,266,,,,,,
751,SALTO,CONCORDANCIA APERTURISTA SALTENSE,Agrupaci¢n Municipal,29/05/2013,250,,,,,,
775,SAN ANTONIO DE ARECO,VIVA ARECO,Agrupaci¢n Municipal,23/04/2015,279,,,,,,
745,SAN FERNANDO,VECINALISMO SAN FERNANDO,Agrupaci¢n Municipal,29/05/2013,553,,,,,,
424,SAN ISIDRO,ACCION VECINAL SAN ISIDRO ES DISTINTO,Agrupaci¢n Municipal,04/07/2001,1167,,,,,,
705,SAN ISIDRO,CON VOCACION POR SAN ISIDRO,Agrupaci¢n Municipal,26/05/2011,2084,,,,,,
761,SAN ISIDRO,AGRUPACION RENOVACION SAN ISIDRO A.R.S.I,Agrupaci¢n Municipal,02/06/2013,1175,,,,,,
857,SAN ISIDRO,AGRUPACION CIVICA PARA EL COMPROMISO VECINAL DE SAN ISIDRO,Agrupaci¢n Municipal,22/03/2019,1400,,,,,,
870,SAN ISIDRO,ADN SAN ISIDRO,Agrupaci¢n Municipal,10/05/2019,1098,,,,,,
862,SAN MIGUEL,UNION VECINAL INDEPENDIENTE DE SAN MIGUEL,Agrupaci¢n Municipal,16/04/2019,899,,,,,,
867,SAN MIGUEL,SAN MIGUEL SOMOS TODOS,Agrupaci¢n Municipal,10/05/2019,920,,,,,,
879,SAN MIGUEL,PRIMERO SAN MIGUEL,Agrupaci¢n Municipal,17/05/2019,973,,,,,,
883,SAN PEDRO,AGRUPACION VECINALISTA UNIDOS POR SAN PEDRO,Agrupaci¢n Municipal,17/05/2019,250,,,,,,
659,SAN VICENTE,RENOVACION VECINAL AUTENTICA,Agrupaci¢n Municipal,31/03/2009,277,,,,,,
793,SAN VICENTE,VECINOS SOLIDARIOS,Agrupaci¢n Municipal,14/05/2015,260,,,,,,
842,SAN VICENTE,VECINALISMO EN ACCION SAN VICENTE,Agrupaci¢n Municipal,30/05/2017,257,,,,,,
193,TIGRE,ACCION COMUNAL DEL PARTIDO DE TIGRE,Agrupaci¢n Municipal,31/07/1985,1215,,,,,,
578,TIGRE,ACCION PARA CRECER DE TIGRE,Agrupaci¢n Municipal,20/02/2007,1309,,,,,,
814,TIGRE,FUERZA VECINAL PARA EL CAMBIO SOCIAL DE TIGRE,Agrupaci¢n Municipal,26/04/2017,1347,,,,,,
875,TIGRE,AGRUPACION UNIDOS POR TIGRE,Agrupaci¢n Municipal,17/05/2019,1239,,,,,,
704,TRENQUE LAUQUEN,UNION VECINAL DEL PARTIDO DE TRENQUE LAUQUEN,Agrupaci¢n Municipal,09/05/2011,330,,,,,,
789,TRENQUE LAUQUEN,ACUERDO CIUDADANO POR TRENQUE LAUQUEN,Agrupaci¢n Municipal,13/05/2015,288,,,,,,
194,TRES ARROYOS,MOVIMIENTO VECINAL DEL PARTIDO DE TRES ARROYOS,Agrupaci¢n Municipal,20/08/1985,373,,,,,,
773,TRES ARROYOS,SOMOS TRES ARROYOS,Agrupaci¢n Municipal,16/04/2015,290,,,,,,
723,TRES DE FEBRERO,NUEVOS AIRES DE TRES DE FEBRERO,Agrupaci¢n Municipal,05/06/2011,1160,,,,,,
488,TRES LOMAS,UNION VECINAL DE TRES LOMAS,Agrupaci¢n Municipal,29/04/2003,253,,,,,,
605,TRES LOMAS,AGRUPACION MUNICIPAL 1§ TRES LOMAS,Agrupaci¢n Municipal,20/07/2007,251,,,,,,
740,VEINTICINCO DE MAYO,NUEVO SIGLO DE 25 DE MAYO,Agrupaci¢n Municipal,20/05/2013,240,,,,,,
463,VICENTE LOPEZ,ACCION VECINAL COMUNAL (A.V.C.),Agrupaci¢n Municipal,12/02/2003,944,,,,,,
760,VICENTE LOPEZ,VECINOS INDEPENDIENTES VICENTE LOPEZ (VIVILO!),Agrupaci¢n Municipal,02/06/2013,941,,,,,,
697,VILLARINO,ACCION POR VILLARINO,Agrupaci¢n Municipal,01/10/2010,268,,,,,,
852,VILLARINO,INTEGRACION VECINALISTA DE VILLARINO,Agrupaci¢n Municipal,13/02/2019,253,,,,,,
612,ZARATE,NUEVO ZARATE,Agrupaci¢n Municipal,26/07/2007,435,,,,,,
645,ZARATE,ACCION CIUDADANA DE TODOS POR ZARATE,Agrupaci¢n Municipal,10/08/2007,390,,,,,,
770,ZARATE,PROYECTO ZARATE,Agrupaci¢n Municipal,20/03/2015,393,,,,,,
